pc1,pc2,pc3,image_url
-3.728720,-5.081628,-1.908160,https://i.ibb.co/QQYnP7R/entertainment-animation-514.jpg
-3.359522,-4.779876,-1.477678,https://i.ibb.co/Fx20pYp/entertainment-animation-517.jpg
-4.111207,-5.043747,-1.849508,https://i.ibb.co/7NDk7g4/entertainment-animation-575.jpg
-3.804797,-5.290553,-1.813166,https://i.ibb.co/VtQzMB8/entertainment-animation-589.jpg
-3.630117,-4.560639,-2.082329,https://i.ibb.co/ZHj16kZ/entertainment-animation-590.jpg
-3.735420,-3.297940,-1.392858,https://i.ibb.co/nz7K3Wd/entertainment-animation-650.jpg
-4.034487,-4.153953,-1.731916,https://i.ibb.co/1s4p7ks/entertainment-animation-688.jpg
-3.729105,-4.910150,-1.737256,https://i.ibb.co/tbTKKjY/entertainment-animation-734.jpg
-3.870971,-4.792023,-1.657395,https://i.ibb.co/PQfg70P/entertainment-animation-791.jpg
-3.547902,-4.381162,-1.393083,https://i.ibb.co/9Z87DtH/entertainment-animation-792.jpg
-3.609119,-5.158672,-1.625747,https://i.ibb.co/V30vhVL/entertainment-animation-799.jpg
-3.588416,0.306806,2.627375,https://i.ibb.co/98YjgPz/entertainment-celeb-1015.jpg
-3.766484,-0.132284,2.608696,https://i.ibb.co/zP5Jqyk/entertainment-celeb-1061.jpg
-3.152246,-1.106254,2.186938,https://i.ibb.co/vHzptXW/entertainment-celeb-1099.jpg
-3.751025,-1.085221,2.148954,https://i.ibb.co/cL13yrp/entertainment-celeb-1154.jpg
-3.560288,-0.983813,2.397527,https://i.ibb.co/MZj3H9n/entertainment-celeb-1286.jpg
-3.537528,-0.856519,2.600118,https://i.ibb.co/gZCQ0Hw/entertainment-celeb-13.jpg
-4.047044,-0.892497,2.626964,https://i.ibb.co/jk2CbrV/entertainment-celeb-1374.jpg
-4.003074,-0.627947,2.815098,https://i.ibb.co/pJrTwg0/entertainment-celeb-1413.jpg
-4.002367,-0.560917,2.760647,https://i.ibb.co/5YWh35D/entertainment-celeb-1420.jpg
-4.011986,-0.813307,2.840055,https://i.ibb.co/Y87G9hg/entertainment-celeb-1431.jpg
-3.320955,-1.513252,2.387600,https://i.ibb.co/BtQ0sFz/entertainment-celeb-1499.jpg
-3.602870,-0.965987,2.412930,https://i.ibb.co/7GHRXZy/entertainment-celeb-1572.jpg
-4.006446,-0.490983,2.875861,https://i.ibb.co/fSwHs0h/entertainment-celeb-1706.jpg
-4.098030,-0.723040,2.899824,https://i.ibb.co/hXd6L65/entertainment-celeb-1708.jpg
-3.754611,-1.061702,2.815076,https://i.ibb.co/7pgL8N9/entertainment-celeb-172.jpg
-3.287989,-0.410169,2.665313,https://i.ibb.co/K2bVHX9/entertainment-celeb-1742.jpg
-3.898559,-0.394702,3.042281,https://i.ibb.co/Rvw3Vkf/entertainment-celeb-19.jpg
-3.937449,-0.398392,2.581058,https://i.ibb.co/tmmy1kM/entertainment-celeb-206.jpg
-3.181864,-1.714312,2.268883,https://i.ibb.co/pZqp0Wq/entertainment-celeb-237.jpg
-3.852332,-0.139189,2.730206,https://i.ibb.co/dghsznT/entertainment-celeb-290.jpg
-3.473297,-0.290483,2.528761,https://i.ibb.co/DRjQdW2/entertainment-celeb-308.jpg
-4.125519,-0.120598,3.032636,https://i.ibb.co/qjFfWJV/entertainment-celeb-407.jpg
-3.777720,-0.732082,2.693304,https://i.ibb.co/0mtQ0qg/entertainment-celeb-483.jpg
-3.597999,-0.770511,2.582401,https://i.ibb.co/z7b35C9/entertainment-celeb-510.jpg
-3.887153,-0.761680,2.988271,https://i.ibb.co/YDPdhsV/entertainment-celeb-539.jpg
-3.879675,0.060648,2.765740,https://i.ibb.co/yRCCp6Z/entertainment-celeb-6.jpg
-3.462323,-0.909477,2.508902,https://i.ibb.co/ZXLzpqs/entertainment-celeb-609.jpg
-3.833027,0.622216,2.157487,https://i.ibb.co/FxyBgRL/entertainment-celeb-667.jpg
-3.900150,-0.361845,2.867061,https://i.ibb.co/nRkz31L/entertainment-celeb-7.jpg
-3.744219,-0.996118,2.513603,https://i.ibb.co/FhWbVj1/entertainment-celeb-750.jpg
-2.989764,5.776281,-1.305909,https://i.ibb.co/K7S26R7/vehicle-car-110.jpg
-2.855223,6.585474,-1.128399,https://i.ibb.co/L8yPQcm/vehicle-car-124.jpg
-3.072580,6.269945,-1.236629,https://i.ibb.co/4gJXbDB/vehicle-car-136.jpg
-2.948697,6.604643,-1.324674,https://i.ibb.co/5rZc3Yq/vehicle-car-160.jpg
-3.045643,5.461639,-1.353334,https://i.ibb.co/Vq2SvS6/vehicle-car-161.jpg
-2.956841,6.149913,-1.083388,https://i.ibb.co/xjqdM9z/vehicle-car-180.jpg.jpg
-2.879343,6.335266,-1.398075,https://i.ibb.co/B3pJWs2/vehicle-car-2.jpg
-2.885912,5.969339,-0.979704,https://i.ibb.co/5L1CnHW/vehicle-car-20.jpg
-2.773733,6.424867,-1.449061,https://i.ibb.co/N6BSKX1/vehicle-car-207.jpg
-2.593276,6.904167,-0.968578,https://i.ibb.co/MfRhBxh/vehicle-car-217.jpg
-3.370642,6.496629,-1.091410,https://i.ibb.co/tZf8XYb/vehicle-car-22.jpg
-2.232396,4.916943,-1.166760,https://i.ibb.co/VHJKR7F/vehicle-car-271.jpg
-2.141706,5.006110,-1.042544,https://i.ibb.co/31Wq04N/vehicle-car-276.jpg
-3.256112,6.910283,-1.075397,https://i.ibb.co/4JmxSL2/vehicle-car-28.jpg
-1.790790,6.461317,-0.802070,https://i.ibb.co/PckzFd6/vehicle-car-314.jpg
-2.969702,5.386626,-1.362289,https://i.ibb.co/PZX0qCk/vehicle-car-4.jpg
-3.047372,6.867889,-1.014676,https://i.ibb.co/8MgLkWV/vehicle-car-425.jpg
-3.068333,6.275013,-1.192224,https://i.ibb.co/q0t0451/vehicle-car-5.jpg
-2.899146,6.496022,-0.917017,https://i.ibb.co/4N7NDWf/vehicle-car-515.jpg
-2.590368,5.879775,-0.527800,https://i.ibb.co/QDcjr1p/vehicle-car-550.jpg
-3.008076,6.390018,-1.035871,https://i.ibb.co/K2z2xG4/vehicle-car-601.jpg
-2.722937,6.223731,-1.060527,https://i.ibb.co/C9cnfhY/vehicle-car-611.jpg
-2.575432,6.567036,-1.106314,https://i.ibb.co/HXWK4Zb/vehicle-car-639.jpg
-1.887323,6.291992,-1.000708,https://i.ibb.co/rGKNhXZ/vehicle-car-655.jpg
-2.031808,6.800777,-1.043988,https://i.ibb.co/9wSrh14/vehicle-car-664.jpg
-1.859032,6.256476,-1.142731,https://i.ibb.co/svf9d1m/vehicle-car-687.jpg
-2.385226,5.740370,-1.246873,https://i.ibb.co/W5W3QgT/vehicle-car-690.jpg
-2.546152,6.756457,-1.047260,https://i.ibb.co/gyW7YgR/vehicle-car-698.jpg
-2.746659,6.425344,-1.269251,https://i.ibb.co/PGtDTXY/vehicle-car-767.jpg
-1.810863,5.896751,-1.286946,https://i.ibb.co/GCSQ42h/vehicle-car-772.jpg
