pc1,pc2,pc3,file_name
4.240513002,-1.267686709,-0.232514808,animal_cat_117.jpg
5.384281631,-0.455806405,0.12708325,animal_cat_12.jpg
5.665303799,-0.751282327,-0.345780584,animal_cat_158.jpg
5.502260854,-0.561264387,-0.162678348,animal_cat_167.jpg
4.557376892,-0.488547467,-0.462907249,animal_cat_198.jpg
4.938950912,-0.392405886,0.15087816,animal_cat_202.jpg
6.000739224,-0.078629162,-0.318264728,animal_cat_204.jpg
5.177277343,-0.776076816,-0.332974917,animal_cat_280.jpg
5.878010338,-0.164422107,0.195108723,animal_cat_299.jpg
5.272314316,-1.332337217,-0.301028161,animal_cat_303.jpg
4.881973188,-1.201816774,0.008166625,animal_cat_33.jpg
5.748302262,-0.497599044,-0.503915838,animal_cat_334.jpg
5.282770533,-0.267339329,-0.142210898,animal_cat_343.jpg
5.067208691,-0.88086454,0.370387267,animal_cat_433.jpg
5.322114586,-0.039652727,-0.188060012,animal_cat_471.jpg
5.031079888,-1.100211931,-0.082343901,animal_cat_584.jpg
5.973123112,-0.585923688,0.192660081,animal_cat_612.jpg
4.704881462,-0.665798314,-0.071762173,animal_cat_625.jpg
5.423744504,-0.127823098,0.675268792,animal_cat_632.jpg
5.075149398,-1.654959164,-0.478062027,animal_cat_692.jpg
5.754103135,-0.491541248,-0.182480295,animal_cat_702.jpg
6.208737147,-0.080945232,-0.175199207,animal_cat_709.jpg
5.240788268,0.011014133,-0.093943848,animal_cat_727.jpg
5.957304923,0.047384216,-0.008950086,animal_cat_764.jpg
5.894274879,-0.774776292,-0.534560357,animal_cat_77.jpg
5.59716472,-0.261862795,0.248499308,animal_cat_776.jpg
5.859362926,-0.271749318,0.322389761,animal_cat_83.jpg
4.939125106,-0.828073136,-0.110842305,animal_cat_878.jpg
3.891568182,-0.633310938,-0.051186004,animal_cat_88.jpg
5.816660815,-0.041205268,0.400800241,animal_cat_902.jpg
5.263272066,-0.47355782,0.477080697,animal_dog_114.jpg
3.99427566,-0.550093516,-0.578974585,animal_dog_163.jpg
