pc1,pc2,pc3,image_url
4.242188,-1.267578,-1.577148,https://i.ibb.co/1TdtbNF/animal-cat-117.jpg
5.382812,-0.455811,-1.56543,https://i.ibb.co/zZm56FX/animal-cat-12.jpg
5.664062,-0.751465,-1.438477,https://i.ibb.co/g6RLhTS/animal-cat-158.jpg
5.503906,-0.561035,-1.662109,https://i.ibb.co/y8kqqfz/animal-cat-167.jpg
4.558594,-0.488525,-1.669922,https://i.ibb.co/ynfGjx4/animal-cat-198.jpg
4.9375,-0.392334,-1.399414,https://i.ibb.co/jLHgNRG/animal-cat-202.jpg
6.0,-0.078613,-1.557617,https://i.ibb.co/1q9FwZ7/animal-cat-204.jpg
5.175781,-0.775879,-1.678711,https://i.ibb.co/bFRdzRL/animal-cat-280.jpg
5.878906,-0.164429,-1.350586,https://i.ibb.co/c3yhRk4/animal-cat-299.jpg
5.273438,-1.332031,-1.615234,https://i.ibb.co/vDTt2yD/animal-cat-303.jpg
4.882812,-1.202148,-1.660156,https://i.ibb.co/dB5kxm9/animal-cat-33.jpg
5.75,-0.497559,-1.5625,https://i.ibb.co/GTsqfnZ/animal-cat-334.jpg
5.28125,-0.267334,-1.572266,https://i.ibb.co/wc6VRQL/animal-cat-343.jpg
5.066406,-0.880859,-1.335938,https://i.ibb.co/v1Dgbn4/animal-cat-433.jpg
5.320312,-0.039642,-1.701172,https://i.ibb.co/PgWcX1f/animal-cat-471.jpg
5.03125,-1.100586,-1.533203,https://i.ibb.co/1dN6kCb/animal-cat-584.jpg
5.972656,-0.585938,-1.324219,https://i.ibb.co/jLV3dBg/animal-cat-612.jpg
4.703125,-0.666016,-1.490234,https://i.ibb.co/1nYMNtG/animal-cat-625.jpg
5.421875,-0.127808,-1.220703,https://i.ibb.co/7yT301T/animal-cat-632.jpg
5.074219,-1.655273,-1.571289,https://i.ibb.co/KD5Hc1h/animal-cat-692.jpg
5.753906,-0.491455,-1.605469,https://i.ibb.co/0qYpJ0Z/animal-cat-702.jpg
6.207031,-0.080933,-1.541992,https://i.ibb.co/fnWWQsr/animal-cat-709.jpg
5.242188,0.011017,-1.580078,https://i.ibb.co/0n0ZDBf/animal-cat-727.jpg
5.957031,0.047394,-1.498047,https://i.ibb.co/Njm1QZB/animal-cat-764.jpg
5.894531,-0.774902,-1.711914,https://i.ibb.co/5GM1Z5F/animal-cat-77.jpg
5.597656,-0.261963,-1.383789,https://i.ibb.co/BZ1MHSp/animal-cat-776.jpg
5.859375,-0.271729,-1.224609,https://i.ibb.co/W00fhtc/animal-cat-83.jpg
4.9375,-0.828125,-1.53125,https://i.ibb.co/X4V9vvy/animal-cat-878.jpg
3.890625,-0.633301,-1.380859,https://i.ibb.co/grwd0j7/animal-cat-88.jpg
5.816406,-0.041199,-1.25293,https://i.ibb.co/wr5t8Rx/animal-cat-902.jpg
5.261719,-0.473633,1.834961,https://i.ibb.co/4ZFZnX2/animal-dog-114.jpg
3.994141,-0.550293,1.104492,https://i.ibb.co/2vCnpfC/animal-dog-163.jpg
4.824219,-0.137451,1.198242,https://i.ibb.co/TrQLsc4/animal-dog-173.jpg
3.673828,-0.881836,0.932129,https://i.ibb.co/nBrCvW3/animal-dog-197.jpg
5.238281,0.010811,1.392578,https://i.ibb.co/27gJ5PT/animal-dog-203.jpg
4.03125,-0.163818,1.961914,https://i.ibb.co/WPhr85s/animal-dog-213.jpg
5.042969,-0.252197,2.130859,https://i.ibb.co/p1WZkxw/animal-dog-243.jpg
3.103516,-1.083984,1.569336,https://i.ibb.co/CPnqmcp/animal-dog-354.jpg
4.859375,-0.520508,1.920898,https://i.ibb.co/G2hC8Zf/animal-dog-37.jpg
5.613281,0.00798,1.657227,https://i.ibb.co/JzgxPGV/animal-dog-371.jpg
3.845703,-0.151489,1.275391,https://i.ibb.co/k02p7Xw/animal-dog-4.jpg
5.507812,-0.184448,2.017578,https://i.ibb.co/hLmqB1G/animal-dog-480.jpg
5.261719,0.065002,1.889648,https://i.ibb.co/BC7xmPb/animal-dog-501.jpg
5.203125,-0.088196,1.458008,https://i.ibb.co/f4FhTp9/animal-dog-53.jpg
5.484375,-0.388672,1.964844,https://i.ibb.co/1bWX0wn/animal-dog-535.jpg
5.019531,-0.254639,1.370117,https://i.ibb.co/fH8984P/animal-dog-548.jpg
4.945312,0.389648,1.540039,https://i.ibb.co/RSJw8HN/animal-dog-56.jpg
5.445312,-0.959473,1.786133,https://i.ibb.co/dbLt5X8/animal-dog-589.jpg
5.933594,-0.281982,2.085938,https://i.ibb.co/mN8SJ9t/animal-dog-601.jpg
4.757812,-0.664062,1.138672,https://i.ibb.co/WfKHRRx/animal-dog-615.jpg
5.074219,-0.600586,1.65625,https://i.ibb.co/4Z8m53y/animal-dog-645.jpg
5.695312,0.050446,1.616211,https://i.ibb.co/dPQs75r/animal-dog-672.jpg
4.417969,-0.427002,1.162109,https://i.ibb.co/swT040f/animal-dog-687.jpg
3.814453,0.969238,1.552734,https://i.ibb.co/2j6rkj5/animal-dog-703.jpg
5.878906,-0.081177,1.816406,https://i.ibb.co/YWJn5F5/animal-dog-704.jpg
5.546875,0.123108,1.604492,https://i.ibb.co/hdWqySq/animal-dog-775.jpg
5.183594,0.507324,1.811523,https://i.ibb.co/YcSvV4F/animal-dog-779.jpg
5.398438,-0.107483,2.072266,https://i.ibb.co/j3Q6TGY/animal-dog-783.jpg
5.679688,0.223145,1.985352,https://i.ibb.co/S6BdYJ2/animal-dog-98.jpg
