pc1,pc2,pc3,image_url,NickName
4.353967,-1.198783,-1.745035,https://i.ibb.co/HDzbjhF/animal-cat-0.jpg,1
4.290357,-1.268069,-1.503803,https://i.ibb.co/1TdtbNF/animal-cat-117.jpg,2
5.382025,-0.425211,-1.489957,https://i.ibb.co/zZm56FX/animal-cat-12.jpg,3
5.746268,-0.701481,-1.404894,https://i.ibb.co/g6RLhTS/animal-cat-158.jpg,4
5.56007,-0.52507,-1.623379,https://i.ibb.co/y8kqqfz/animal-cat-167.jpg,5
4.651521,-0.46348,-1.637062,https://i.ibb.co/ynfGjx4/animal-cat-198.jpg,6
5.067136,-0.912253,-1.531086,https://i.ibb.co/3zTyNCf/animal-cat-2.jpg,7
4.973874,-0.35193,-1.300137,https://i.ibb.co/jLHgNRG/animal-cat-202.jpg,8
6.020419,-0.074682,-1.493406,https://i.ibb.co/1q9FwZ7/animal-cat-204.jpg,9
5.283093,-0.721346,-1.637667,https://i.ibb.co/bFRdzRL/animal-cat-280.jpg,10
5.843339,-0.132757,-1.284425,https://i.ibb.co/c3yhRk4/animal-cat-299.jpg,11
5.371617,-1.302995,-1.62547,https://i.ibb.co/vDTt2yD/animal-cat-303.jpg,12
4.908403,-1.166782,-1.606625,https://i.ibb.co/dB5kxm9/animal-cat-33.jpg,13
5.824759,-0.481473,-1.563445,https://i.ibb.co/GTsqfnZ/animal-cat-334.jpg,14
5.358588,-0.248681,-1.535136,https://i.ibb.co/wc6VRQL/animal-cat-343.jpg,15
5.136273,-0.845759,-1.284379,https://i.ibb.co/v1Dgbn4/animal-cat-433.jpg,16
5.361486,-0.013364,-1.659932,https://i.ibb.co/PgWcX1f/animal-cat-471.jpg,17
5.618527,0.079312,-1.126426,https://i.ibb.co/RPMVdBK/animal-cat-5.jpg,18
5.126128,-1.061571,-1.482523,https://i.ibb.co/1dN6kCb/animal-cat-584.jpg,19
5.94187,-0.537385,-1.254076,https://i.ibb.co/jLV3dBg/animal-cat-612.jpg,20
4.749504,-0.632834,-1.453836,https://i.ibb.co/1nYMNtG/animal-cat-625.jpg,21
5.369368,-0.063489,-1.15635,https://i.ibb.co/7yT301T/animal-cat-632.jpg,22
5.161066,-1.647055,-1.569457,https://i.ibb.co/KD5Hc1h/animal-cat-692.jpg,23
5.749078,-0.452254,-1.537778,https://i.ibb.co/0qYpJ0Z/animal-cat-702.jpg,24
6.244391,-0.061762,-1.50772,https://i.ibb.co/fnWWQsr/animal-cat-709.jpg,25
5.239484,0.050347,-1.54144,https://i.ibb.co/0n0ZDBf/animal-cat-727.jpg,26
5.961121,0.080427,-1.464277,https://i.ibb.co/Njm1QZB/animal-cat-764.jpg,27
5.941485,-0.737746,-1.706619,https://i.ibb.co/5GM1Z5F/animal-cat-77.jpg,28
3.909255,-0.593497,-1.30013,https://i.ibb.co/grwd0j7/animal-cat-88.jpg,29
5.840669,0.024185,-1.229065,https://i.ibb.co/wr5t8Rx/animal-cat-902.jpg,30
4.510693,0.079996,1.556248,https://i.ibb.co/xs7JzLV/animal-dog-0.jpg,31
4.281746,-0.593576,1.487005,https://i.ibb.co/pKKGYW1/animal-dog-1.jpg,32
